persona_a,persona_b,pair_id,task_type,retain_mechanism,simple_condition,simple_matched_control_condition,reinforced_condition,reinforced_matched_control_condition,reinforcement_repeats,primary_gap_metric_name,simple_primary_gap_abs,reinforced_primary_gap_abs,primary_gap_change,simple_scs,reinforced_scs,scs_change,simple_rai,reinforced_rai,rai_change,weakened_distance_to_matched_b_control,weakened_primary_gap,increased_a_influence,rq3_weakened
INTJ,ISTJ,INTJ_to_ISTJ,mbti_mcq,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,osr_gap_abs_vs_matched_b_control,0.0,0.0,0.0,0.9247,0.9032,-0.0215,-0.086,-0.043,0.043,True,False,True,True
INTJ,ISTJ,INTJ_to_ISTJ,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,osr_gap_abs_vs_matched_b_control,0.0,0.0,0.0,0.9677,0.9892,0.0215,-0.2151,-0.2258,-0.0107,False,False,False,False
INTJ,ISTJ,INTJ_to_ISTJ,machine_mindset,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,primary_gap_abs_vs_matched_b_control,0.0491,0.0493,0.0002,0.2333,0.1333,-0.1,0.0327,0.0109,-0.0218,True,True,False,True
INTJ,ISTJ,INTJ_to_ISTJ,machine_mindset,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,primary_gap_abs_vs_matched_b_control,0.0011,0.0122,0.0111,0.6,0.4667,-0.1333,-0.0454,-0.0353,0.0101,True,True,True,True
INTJ,ISTJ,INTJ_to_ISTJ,ifeval,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,primary_gap_abs_vs_matched_b_control,0.0667,0.0667,0.0,0.517,0.5494,0.0324,-0.0858,-0.0742,0.0116,False,False,True,False
INTJ,ISTJ,INTJ_to_ISTJ,ifeval,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,primary_gap_abs_vs_matched_b_control,0.0,0.0,0.0,0.4974,0.484,-0.0134,-0.0181,-0.0272,-0.0091,False,False,False,False
INFJ,INTJ,INFJ_to_INTJ,mbti_mcq,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,osr_gap_abs_vs_matched_b_control,0.0,0.0,0.0,0.9032,0.8925,-0.0107,-0.2151,-0.2258,-0.0107,True,False,False,False
INFJ,INTJ,INFJ_to_INTJ,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,osr_gap_abs_vs_matched_b_control,0.0,0.0,0.0,0.957,0.957,0.0,-0.3333,-0.3441,-0.0108,False,False,False,False
INFJ,INTJ,INFJ_to_INTJ,machine_mindset,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,primary_gap_abs_vs_matched_b_control,0.0,0.0047,0.0047,0.3667,0.3667,0.0,-0.0534,-0.0478,0.0056,False,True,True,True
INFJ,INTJ,INFJ_to_INTJ,machine_mindset,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,primary_gap_abs_vs_matched_b_control,0.0106,0.0143,0.0037,0.4333,0.3,-0.1333,-0.0656,-0.05,0.0156,True,True,True,True
INFJ,INTJ,INFJ_to_INTJ,ifeval,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,primary_gap_abs_vs_matched_b_control,0.0,0.0667,0.0667,0.5087,0.5155,0.0068,-0.0084,-0.0566,-0.0482,True,False,False,False
INFJ,INTJ,INFJ_to_INTJ,ifeval,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,primary_gap_abs_vs_matched_b_control,0.0334,0.0,-0.0334,0.5064,0.4906,-0.0158,-0.007,-0.0013,0.0057,False,False,True,True
INFJ,ENFJ,INFJ_to_ENFJ,mbti_mcq,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,osr_gap_abs_vs_matched_b_control,0.0,0.0,0.0,0.9247,0.5699,-0.3548,-0.2366,0.086,0.3226,True,False,True,True
INFJ,ENFJ,INFJ_to_ENFJ,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,osr_gap_abs_vs_matched_b_control,0.0,0.0,0.0,0.957,0.3011,-0.6559,-0.2796,-0.1075,0.1721,True,False,True,True
INFJ,ENFJ,INFJ_to_ENFJ,machine_mindset,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,primary_gap_abs_vs_matched_b_control,0.0011,0.0037,0.0026,0.4333,0.3,-0.1333,-0.0325,-0.0078,0.0247,True,True,True,True
INFJ,ENFJ,INFJ_to_ENFJ,machine_mindset,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,primary_gap_abs_vs_matched_b_control,0.0118,0.6621,0.6503,0.5,0.0667,-0.4333,-0.0395,-0.0181,0.0214,True,True,True,True
INFJ,ENFJ,INFJ_to_ENFJ,ifeval,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,primary_gap_abs_vs_matched_b_control,0.0667,0.0333,-0.0334,0.55,0.5355,-0.0145,-0.0856,-0.0648,0.0208,False,False,True,True
INFJ,ENFJ,INFJ_to_ENFJ,ifeval,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,primary_gap_abs_vs_matched_b_control,0.0667,0.7,0.6333,0.501,0.0,-0.501,-0.0363,0.0,0.0363,True,False,True,True
INFJ,ISFJ,INFJ_to_ISFJ,mbti_mcq,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,osr_gap_abs_vs_matched_b_control,0.0,0.0,0.0,0.914,0.8495,-0.0645,-0.2258,-0.172,0.0538,True,False,True,True
INFJ,ISFJ,INFJ_to_ISFJ,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,osr_gap_abs_vs_matched_b_control,0.0,0.0,0.0,0.957,0.957,0.0,-0.2903,-0.3333,-0.043,False,False,False,False
INFJ,ISFJ,INFJ_to_ISFJ,machine_mindset,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,primary_gap_abs_vs_matched_b_control,0.011,0.0078,-0.0032,0.2667,0.3667,0.1,-0.0467,-0.0477,-0.001,False,False,False,False
INFJ,ISFJ,INFJ_to_ISFJ,machine_mindset,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,primary_gap_abs_vs_matched_b_control,0.0146,0.0254,0.0108,0.3667,0.3333,-0.0334,-0.0449,-0.0448,0.0001,True,True,True,True
INFJ,ISFJ,INFJ_to_ISFJ,ifeval,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,primary_gap_abs_vs_matched_b_control,0.0,0.0,0.0,0.5744,0.4931,-0.0813,-0.1166,-0.0121,0.1045,False,False,True,True
INFJ,ISFJ,INFJ_to_ISFJ,ifeval,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,primary_gap_abs_vs_matched_b_control,0.0334,0.0333,-0.0001,0.5179,0.4945,-0.0234,-0.0595,-0.0191,0.0404,False,False,True,True
INFJ,ENTP,INFJ_to_ENTP,mbti_mcq,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,osr_gap_abs_vs_matched_b_control,0.0,0.25,0.25,0.871,0.7742,-0.0968,-0.3011,-0.1613,0.1398,True,True,True,True
INFJ,ENTP,INFJ_to_ENTP,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,osr_gap_abs_vs_matched_b_control,0.0,0.0,0.0,0.9355,0.9462,0.0107,-0.5054,-0.5161,-0.0107,False,False,False,False
INFJ,ENTP,INFJ_to_ENTP,machine_mindset,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,primary_gap_abs_vs_matched_b_control,0.0024,0.0088,0.0064,0.3,0.3667,0.0667,-0.0618,-0.0407,0.0211,False,True,True,True
INFJ,ENTP,INFJ_to_ENTP,machine_mindset,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,primary_gap_abs_vs_matched_b_control,0.004,0.0155,0.0115,0.4333,0.3667,-0.0666,-0.0692,-0.0592,0.01,True,True,True,True
INFJ,ENTP,INFJ_to_ENTP,ifeval,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,primary_gap_abs_vs_matched_b_control,0.0333,0.0,-0.0333,0.4767,0.5557,0.079,0.0208,-0.0757,-0.0965,False,False,False,False
INFJ,ENTP,INFJ_to_ENTP,ifeval,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,primary_gap_abs_vs_matched_b_control,0.0,0.0,0.0,0.4859,0.4678,-0.0181,-0.0444,-0.0151,0.0293,False,False,True,True
INFJ,ISTP,INFJ_to_ISTP,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,osr_gap_abs_vs_matched_b_control,0.0,0.0,0.0,0.8925,0.9462,0.0537,-0.4194,-0.4731,-0.0537,False,False,False,False
INFJ,ISTP,INFJ_to_ISTP,machine_mindset,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,primary_gap_abs_vs_matched_b_control,0.0265,0.021,-0.0055,0.2,0.3333,0.1333,-0.0563,-0.0548,0.0015,False,False,True,False
INFJ,ISTP,INFJ_to_ISTP,ifeval,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,primary_gap_abs_vs_matched_b_control,0.1,0.1,0.0,0.5188,0.5061,-0.0127,-0.0866,-0.0415,0.0451,False,False,True,True
INFJ,ENFP,INFJ_to_ENFP,mbti_mcq,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,osr_gap_abs_vs_matched_b_control,0.0,0.25,0.25,0.914,0.8602,-0.0538,-0.2796,-0.1828,0.0968,True,True,True,True
INFJ,ENFP,INFJ_to_ENFP,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,osr_gap_abs_vs_matched_b_control,0.0,0.0,0.0,0.9892,0.9785,-0.0107,-0.3978,-0.3441,0.0537,True,False,True,True
INFJ,ENFP,INFJ_to_ENFP,machine_mindset,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,primary_gap_abs_vs_matched_b_control,0.0327,0.028,-0.0047,0.4333,0.2333,-0.2,-0.0645,-0.05,0.0145,True,False,True,True
INFJ,ENFP,INFJ_to_ENFP,machine_mindset,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,primary_gap_abs_vs_matched_b_control,0.0014,0.0176,0.0162,0.2667,0.2667,0.0,-0.0526,-0.0578,-0.0052,False,True,False,False
INFJ,ENFP,INFJ_to_ENFP,ifeval,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,primary_gap_abs_vs_matched_b_control,0.0334,0.0,-0.0334,0.5377,0.527,-0.0107,-0.0646,-0.0469,0.0177,False,False,True,True
INFJ,ENFP,INFJ_to_ENFP,ifeval,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,primary_gap_abs_vs_matched_b_control,0.0333,0.0666,0.0333,0.4525,0.4399,-0.0126,-0.0379,0.01,0.0479,True,False,True,True
INFJ,ISTJ,INFJ_to_ISTJ,mbti_mcq,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,osr_gap_abs_vs_matched_b_control,0.0,0.0,0.0,0.9247,0.8925,-0.0322,-0.4194,-0.3548,0.0646,True,False,True,True
INFJ,ISTJ,INFJ_to_ISTJ,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,osr_gap_abs_vs_matched_b_control,0.0,0.0,0.0,0.9892,0.9677,-0.0215,-0.5699,-0.5376,0.0323,True,False,True,True
INFJ,ISTJ,INFJ_to_ISTJ,machine_mindset,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,primary_gap_abs_vs_matched_b_control,0.0154,0.0137,-0.0017,0.3333,0.4333,0.1,-0.0649,-0.063,0.0019,False,False,True,False
INFJ,ISTJ,INFJ_to_ISTJ,machine_mindset,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,primary_gap_abs_vs_matched_b_control,0.0208,0.0281,0.0073,0.3667,0.3,-0.0667,-0.0709,-0.082,-0.0111,True,True,False,True
INFJ,ISTJ,INFJ_to_ISTJ,ifeval,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,primary_gap_abs_vs_matched_b_control,0.0667,0.0667,0.0,0.5076,0.503,-0.0046,-0.0153,-0.0126,0.0027,False,False,True,True
INFJ,ISTJ,INFJ_to_ISTJ,ifeval,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,primary_gap_abs_vs_matched_b_control,0.0333,0.0,-0.0333,0.4945,0.4876,-0.0069,-0.024,-0.0099,0.0141,False,False,True,True
INFJ,ESFJ,INFJ_to_ESFJ,mbti_mcq,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,osr_gap_abs_vs_matched_b_control,0.0,0.0,0.0,0.9032,0.8602,-0.043,-0.3226,-0.2581,0.0645,True,False,True,True
INFJ,ESFJ,INFJ_to_ESFJ,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,osr_gap_abs_vs_matched_b_control,0.0,0.0,0.0,0.914,0.9355,0.0215,-0.3763,-0.4194,-0.0431,False,False,False,False
INFJ,ESFJ,INFJ_to_ESFJ,machine_mindset,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,primary_gap_abs_vs_matched_b_control,0.0003,0.0203,0.02,0.4,0.4,0.0,-0.0276,-0.0247,0.0029,False,True,True,True
INFJ,ESFJ,INFJ_to_ESFJ,machine_mindset,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,primary_gap_abs_vs_matched_b_control,0.008,0.0148,0.0068,0.5667,0.3,-0.2667,-0.0302,-0.0386,-0.0084,True,True,False,True
INFJ,ESFJ,INFJ_to_ESFJ,ifeval,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,primary_gap_abs_vs_matched_b_control,0.1,0.0666,-0.0334,0.4837,0.5279,0.0442,-0.0233,-0.0589,-0.0356,False,False,False,False
INFJ,ESFJ,INFJ_to_ESFJ,ifeval,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,primary_gap_abs_vs_matched_b_control,0.0667,0.0667,0.0,0.4902,0.4479,-0.0423,-0.0872,-0.0129,0.0743,False,False,True,True
INFJ,ESTJ,INFJ_to_ESTJ,mbti_mcq,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,osr_gap_abs_vs_matched_b_control,0.0,0.0,0.0,0.8065,0.7849,-0.0216,-0.3763,-0.3441,0.0322,True,False,True,True
INFJ,ESTJ,INFJ_to_ESTJ,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,osr_gap_abs_vs_matched_b_control,0.0,0.0,0.0,0.9355,0.9247,-0.0108,-0.6559,-0.6774,-0.0215,True,False,False,False
INFJ,ESTJ,INFJ_to_ESTJ,machine_mindset,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,primary_gap_abs_vs_matched_b_control,0.0249,0.0156,-0.0093,0.3333,0.3667,0.0334,-0.0444,-0.0536,-0.0092,False,False,False,False
INFJ,ESTJ,INFJ_to_ESTJ,machine_mindset,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,primary_gap_abs_vs_matched_b_control,0.0165,0.0149,-0.0016,0.3667,0.2333,-0.1334,-0.087,-0.0963,-0.0093,True,False,False,False
INFJ,ESTJ,INFJ_to_ESTJ,ifeval,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,primary_gap_abs_vs_matched_b_control,0.1,0.0333,-0.0667,0.4891,0.5303,0.0412,-0.0112,-0.0456,-0.0344,False,False,False,False
INFJ,ESTJ,INFJ_to_ESTJ,ifeval,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,primary_gap_abs_vs_matched_b_control,0.0334,0.0333,-0.0001,0.511,0.5214,0.0104,-0.0468,-0.0555,-0.0087,False,False,False,False
ENTJ,ESTJ,ENTJ_to_ESTJ,mbti_mcq,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,osr_gap_abs_vs_matched_b_control,0.0,0.0,0.0,0.9032,0.914,0.0108,-0.0538,-0.0645,-0.0107,False,False,False,False
ENTJ,ESTJ,ENTJ_to_ESTJ,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,osr_gap_abs_vs_matched_b_control,0.0,0.0,0.0,0.9355,0.9247,-0.0108,-0.1398,-0.1183,0.0215,True,False,True,True
ENTJ,ESTJ,ENTJ_to_ESTJ,machine_mindset,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,primary_gap_abs_vs_matched_b_control,0.0695,0.0232,-0.0463,0.3333,0.3667,0.0334,0.0059,-0.0019,-0.0078,False,False,False,False
ENTJ,ESTJ,ENTJ_to_ESTJ,machine_mindset,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,primary_gap_abs_vs_matched_b_control,0.0204,0.0293,0.0089,0.2667,0.4667,0.2,-0.0305,-0.0323,-0.0018,False,True,False,False
ENTJ,ESTJ,ENTJ_to_ESTJ,ifeval,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,primary_gap_abs_vs_matched_b_control,0.0667,0.0334,-0.0333,0.4822,0.5556,0.0734,0.0118,-0.0663,-0.0781,False,False,False,False
ENTJ,ESTJ,ENTJ_to_ESTJ,ifeval,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,primary_gap_abs_vs_matched_b_control,0.0334,0.0,-0.0334,0.4524,0.5047,0.0523,0.0097,-0.0444,-0.0541,False,False,False,False
ISTP,INTJ,ISTP_to_INTJ,mbti_mcq,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,osr_gap_abs_vs_matched_b_control,0.0,0.25,0.25,0.9462,0.8925,-0.0537,-0.2366,-0.2043,0.0323,True,True,True,True
ISTP,INTJ,ISTP_to_INTJ,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,osr_gap_abs_vs_matched_b_control,0.0,0.0,0.0,0.914,0.9355,0.0215,-0.2688,-0.2581,0.0107,False,False,True,False
ISTP,INTJ,ISTP_to_INTJ,machine_mindset,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,primary_gap_abs_vs_matched_b_control,0.0237,0.0034,-0.0203,0.2333,0.4667,0.2334,-0.0385,-0.0308,0.0077,False,False,True,False
ISTP,INTJ,ISTP_to_INTJ,machine_mindset,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,primary_gap_abs_vs_matched_b_control,0.0072,0.024,0.0168,0.2667,0.2667,0.0,-0.0512,-0.0312,0.02,False,True,True,True
ISTP,INTJ,ISTP_to_INTJ,ifeval,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,primary_gap_abs_vs_matched_b_control,0.0666,0.0667,0.0001,0.5286,0.5396,0.011,-0.0707,-0.095,-0.0243,True,False,False,False
ISTP,INTJ,ISTP_to_INTJ,ifeval,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,primary_gap_abs_vs_matched_b_control,0.0333,0.0666,0.0333,0.4856,0.5172,0.0316,-0.0648,-0.0873,-0.0225,True,False,False,False
ISTP,INFJ,ISTP_to_INFJ,mbti_mcq,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,osr_gap_abs_vs_matched_b_control,0.0,0.5,0.5,0.828,0.6989,-0.1291,-0.2796,-0.0753,0.2043,True,True,True,True
ISTP,INFJ,ISTP_to_INFJ,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,osr_gap_abs_vs_matched_b_control,0.0,0.0,0.0,0.957,0.9355,-0.0215,-0.5054,-0.4516,0.0538,True,False,True,True
ISTP,INFJ,ISTP_to_INFJ,machine_mindset,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,primary_gap_abs_vs_matched_b_control,0.0403,0.0343,-0.006,0.1333,0.1667,0.0334,-0.0109,0.0073,0.0182,False,False,True,False
ISTP,INFJ,ISTP_to_INFJ,machine_mindset,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,primary_gap_abs_vs_matched_b_control,0.0242,0.0173,-0.0069,0.4,0.1333,-0.2667,-0.0359,-0.0226,0.0133,True,False,True,True
ISTP,INFJ,ISTP_to_INFJ,ifeval,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,primary_gap_abs_vs_matched_b_control,0.0333,0.0,-0.0333,0.4988,0.5358,0.037,-0.0525,-0.0815,-0.029,False,False,False,False
ISTP,INFJ,ISTP_to_INFJ,ifeval,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,primary_gap_abs_vs_matched_b_control,0.0666,0.0667,0.0001,0.477,0.506,0.029,-0.0107,-0.0809,-0.0702,True,False,False,False
ISTP,ENFJ,ISTP_to_ENFJ,mbti_mcq,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,osr_gap_abs_vs_matched_b_control,0.0,0.5,0.5,0.871,0.6774,-0.1936,-0.5161,-0.2151,0.301,True,True,True,True
ISTP,ENFJ,ISTP_to_ENFJ,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,osr_gap_abs_vs_matched_b_control,0.0,0.0,0.0,0.9247,0.914,-0.0107,-0.6022,-0.5806,0.0216,True,False,True,True
ISTP,ENFJ,ISTP_to_ENFJ,machine_mindset,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,primary_gap_abs_vs_matched_b_control,0.0333,0.0254,-0.0079,0.2667,0.2333,-0.0334,-0.0316,-0.0312,0.0004,True,False,True,True
ISTP,ENFJ,ISTP_to_ENFJ,machine_mindset,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,primary_gap_abs_vs_matched_b_control,0.0347,0.0015,-0.0332,0.3667,0.3,-0.0667,-0.0706,-0.0611,0.0095,True,False,True,True
ISTP,ENFJ,ISTP_to_ENFJ,ifeval,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,primary_gap_abs_vs_matched_b_control,0.0333,0.0333,0.0,0.5024,0.5386,0.0362,-0.0724,-0.0928,-0.0204,False,False,False,False
ISTP,ENFJ,ISTP_to_ENFJ,ifeval,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,primary_gap_abs_vs_matched_b_control,0.0667,0.0333,-0.0334,0.467,0.496,0.029,-0.0328,-0.0469,-0.0141,False,False,False,False
ISTP,ISFJ,ISTP_to_ISFJ,mbti_mcq,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,osr_gap_abs_vs_matched_b_control,0.0,0.25,0.25,0.8817,0.8387,-0.043,-0.2903,-0.1935,0.0968,True,True,True,True
ISTP,ISFJ,ISTP_to_ISFJ,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,osr_gap_abs_vs_matched_b_control,0.0,0.0,0.0,0.9247,0.9247,0.0,-0.3763,-0.3763,0.0,False,False,False,False
ISTP,ISFJ,ISTP_to_ISFJ,machine_mindset,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,primary_gap_abs_vs_matched_b_control,0.0056,0.0297,0.0241,0.3,0.3333,0.0333,-0.0436,-0.0342,0.0094,False,True,True,True
ISTP,ISFJ,ISTP_to_ISFJ,machine_mindset,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,primary_gap_abs_vs_matched_b_control,0.0034,0.0261,0.0227,0.3667,0.3,-0.0667,-0.0695,-0.0532,0.0163,True,True,True,True
ISTP,ISFJ,ISTP_to_ISFJ,ifeval,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,primary_gap_abs_vs_matched_b_control,0.1,0.0334,-0.0666,0.5176,0.5209,0.0033,-0.0745,-0.0583,0.0162,False,False,True,False
ISTP,ISFJ,ISTP_to_ISFJ,ifeval,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,primary_gap_abs_vs_matched_b_control,0.0,0.0667,0.0667,0.4964,0.4972,0.0008,-0.0545,-0.034,0.0205,True,False,True,True
